id,limit,n_cc,inc0,w0,c0,safety_score,deg,female,age,deb0,del
1,23.033556,3,6,62.865582,9.8296022,-2.9765515,3,0,34,0,0
2,6.09375,3,7.2852869,32.267799,7.4791756,-3.4803882,4,1,28,0,0
3,3.0581872,3,7.3499999,239.06969,8.9631052,.046111528,4,1,27,0,0
4,7.96875,3,12.395555,37.242954,11.274359,.16388662,5,0,41,0,0
5,29.6875,3,10.640203,25.081051,11.348108,.14673413,1,0,39,4.8061442,0
6,12.919568,3,14.8,63.393604,7.0023313,-1.1230597,4,1,46,0,0
7,1.875,3,4.7642365,38.810284,6.8088822,-.28494647,3,0,21,0,0
8,4.3693352,3,10.605,35.042969,7.6980548,.58604223,3,0,34,0,0
9,27.15625,3,3.7529163,36.720963,9.0280132,-3.1830046,4,0,27,.60792178,0
10,4.6875,3,10.205069,49.661026,9.6604948,-.080567032,2,0,59,0,0
11,9.7701883,1,4.1017637,11.771696,7.7499099,.060694251,3,1,26,2.4984004,0
12,12.014473,3,10.5,33.572598,9.2983418,-1.4016173,3,0,51,0,0
13,1.40625,3,14.715466,78.349403,13.033009,.35555878,3,1,49,0,0
14,1.4305664,3,8.9054642,122.00635,9.1265764,.19218011,3,0,44,3.8007908,0
16,7.8104811,3,22.454222,344.43771,13.274585,-.73800898,2,1,34,1.6179245,0
17,3.0843983,3,10,30.324991,7.7403793,-.32390723,4,1,37,0,0
18,6.5579481,3,3.9770889,80.346397,4.6271772,-1.6708423,1,1,21,1.5278225,0
19,11.21875,3,15.093064,101.54843,11.742063,-.99524486,4,0,32,0,0
20,4.6875,3,4.5608063,117.56098,15.08288,.14730799,4,0,23,0,0
21,11.796875,3,16.763559,300.86551,15.078984,-.30153239,4,1,39,1.907726,0
22,8.40625,3,4.860363,74.198425,9.2884741,-.60948622,1,0,24,1.942096,0
23,3.125,3,10.556222,79.977669,9.0151672,.32468277,2,1,36,0,0
24,.9375,3,8.3294964,237.77449,19.457529,.32892901,3,0,22,0,0
25,6.875,2,7.2852597,12.229563,17.195349,-.4358007,1,1,28,0,0
26,3.8564334,3,5.5650001,233.82973,8.7995758,.8607409,1,1,34,0,0
27,70.3125,3,7.1470027,183.84842,8.3780203,-.38926485,5,0,22,0,0
28,4.5403557,3,41.5,89.580818,7.3247428,-.34476605,1,1,47,0,0
29,6.2424073,3,26.25,108.9064,13.179049,.67993116,4,0,41,0,0
30,20.59375,3,12.89204,179.81447,14.527922,-.051529694,2,0,43,0,0
31,14.375,3,9.7915068,29.625751,7.9371414,.42377979,5,0,44,0,0
32,4.125,3,12.88722,188.98064,12.179009,-.41622806,4,1,44,0,0
33,4.53125,3,11.474319,23.233232,10.199591,.86598116,4,1,57,1.8064855,0
34,4.21875,3,5.9710703,85.172874,8.8520689,.81433409,4,1,27,1.6053835,0
35,38.260567,3,13.358255,38.969547,10.109724,-1.0962006,3,1,34,2.406188,0
36,53.573208,3,48.400002,926.93677,26.320181,-.74617088,5,1,52,0,0
37,3.2001607,2,4.0826936,31.599371,7.2798004,.32955214,3,0,23,4.1548085,0
38,5.6861634,3,8.30445,105.86163,5.7961326,.88291413,4,1,31,4.578794,0
39,15.3125,3,15.759383,219.07938,14.183196,.26772484,5,0,41,0,0
40,30.933853,3,9.8059168,117.46145,8.0326071,-1.2714809,3,0,61,.76116472,0
41,27.96875,3,8.6517954,55.506157,11.51105,-.71060669,3,0,61,.65315694,0
42,1.875,3,12.68126,113.01248,10.55691,.29410839,2,1,44,0,0
43,5,3,4.2996516,30.058424,7.9410324,1.2106291,3,0,23,0,0
44,3.6502595,3,19.299999,117.59776,15.258717,-1.4216046,3,0,41,0,0
45,12.807017,3,10.225705,33.930794,11.351067,.29600182,3,0,39,1.8433305,0
46,4.3398652,2,6.4050002,24.759338,7.8203759,.46803749,3,0,34,0,0
47,2.8834825,3,18.05316,204.21849,12.908014,.60319525,5,1,51,2.850421,0
48,4.4573655,3,6.8249998,78.605072,8.5670595,.37214187,4,0,21,0,0
49,15.952919,3,11,36.117661,8.1094236,.64466363,1,1,38,0,0
50,.95309508,1,2.9220431,4.3800859,6.4996614,1.4882684,1,0,22,7.3296347,0
51,9.875,3,11.469131,38.984657,12.074274,.23722027,3,0,54,0,0
52,4.0642724,3,6.9983377,44.737656,7.5992866,.94473016,4,0,21,3.2423992,0
53,5.4934583,3,4.9377427,24.17137,5.2138047,.18913721,3,0,21,2.283926,0
54,2.34375,3,19.701017,612.58319,16.157253,.33095843,1,1,34,0,0
55,.46875,3,13.223639,30.555943,9.7924643,.2442961,3,1,57,.99342746,0
56,3.128654,3,4.3000002,77.469925,8.282342,-.59948069,3,0,21,0,0
57,3.1807394,1,2.8,90.071381,10.191403,-.18145865,4,0,23,0,0
58,8.7426434,3,3.5659912,29.219822,10.090052,.5931201,4,1,53,2.1880989,0
59,5.9375,3,6.9364977,151.17105,9.1467819,.69815433,4,1,24,0,0
60,8.4375,3,14.829445,111.4388,10.124897,1.1664827,2,0,42,0,0
61,6.0463986,3,6.3000002,124.51027,7.9886985,-.32979372,3,1,29,0,0
62,11.71875,3,15.236821,198.23236,11.015123,1.2910299,4,1,58,.76933503,0
63,12.96875,2,10.60941,8.8429537,12.267659,.71986079,3,0,46,1.1665308,0
64,11.71875,2,13.725519,2.8639967,20.188129,.79802305,3,1,51,1.0514961,0
65,5.9375,3,12.820958,119.64867,14.911608,.99676436,2,1,59,0,0
67,5,3,5.1091342,37.987293,8.3703623,.67013305,3,0,24,0,0
69,3.0469232,2,10.5,60.596264,13.241694,.14442602,3,0,47,0,0
70,5.2523584,2,8.6999998,68.368813,8.0128603,.33912265,4,0,53,0,0
71,9.6959715,3,17.321728,82.868416,13.805736,-2.505384,4,1,56,1.9982139,0
72,5.625,3,15.868669,243.62917,12.883432,.46283698,5,0,39,0,0
73,12.03125,3,11.142282,84.607521,11.737418,-.44126919,4,1,44,1.4548129,0
74,4.1875,2,5.7479715,73.559128,8.7102623,-1.5263499,2,0,27,3.0260525,0
76,3.9867666,3,7.0999999,51.716137,6.6718416,.63192016,5,0,22,0,0
77,6.5625,3,10.179864,38.185028,9.8116035,.3272205,5,0,44,0,0
78,1.40625,2,12.399545,32.491207,9.3672733,.13560446,4,0,42,0,0
79,16.795139,3,43,926.93677,30.993324,-.2137759,3,1,52,0,0
80,2.8125,2,9.9270277,54.747051,10.186575,.025246879,4,0,43,0,0
